"temperatura" "umidade"
"1" 22.7364992164075 60.031374599755
"2" 22.0261345407926 60.0494385973786
"3" 27.962438268587 58.2844720543397
"4" 23.1209159293212 60.9624214369268
"5" 20.0802879175171 63.0312201775159
"6" 29.2899554409087 58.1920506872988
"7" 20.7347222906537 59.7991459686573
"8" 22.0305806072429 60.8435305070968
"9" 24.4109893147834 59.9972909096178
"10" 23.4075937443413 60.0500472805726
"11" 28.6601302819327 58.2459537657559
"12" 22.0723767555319 61.1952287997781
"13" 24.5200848998502 60.4313471616243
"14" 26.2255007936619 59.8133908848832
"15" 29.0140012465417 57.2471447617149
"16" 23.4491128614172 58.9964158795767
"17" 28.832760148216 58.5797314224304
"18" 28.1589104258455 58.5616078447966
"19" 21.3590338639915 63.1383827613583
"20" 20.9309289301746 61.1883117202338
"21" 24.3403212167323 59.8932296216892
"22" 27.0214321580715 60.6290856242452
"23" 27.9454241623171 60.337393590389
"24" 20.1936570857652 62.4979331085096
"25" 25.9328226582147 59.3997921765172
"26" 23.2326426752843 59.2997380812113
"27" 24.5053781359456 60.2450241729189
"28" 27.5922572542913 61.3692072532824
"29" 25.9808524698019 60.0675070844895
"30" 21.6891972790472 60.0509499927965
"31" 27.275696718134 57.4898819006285
"32" 26.4682120247744 58.5778934225587
"33" 22.5023395381868 61.1255166601831
"34" 29.4971435843036 56.619092812764
"35" 24.0343951364048 59.8454490997656
"36" 21.8809185083956 61.6000424753094
"37" 20.2994823665358 61.8692227834806
"38" 26.5791581431404 59.1623308146855
"39" 29.3199900235049 58.5131706417322
"40" 22.5693158339709 60.3490281260995
"41" 26.6136620263569 60.2706529909409
"42" 20.8684658166021 62.8569300176792
"43" 29.6392804570496 57.4198120252134
"44" 20.3415370895527 61.5985976092041
"45" 25.6803476833738 60.7131650991511
"46" 22.4444622430019 60.2603218938993
"47" 22.9099061153829 61.6053158078419
"48" 27.1260873228312 58.4901503615982
"49" 29.3187096947804 59.1931920780683
"50" 28.5059294034727 59.1055195173001
