"temperatura" "municipio"
"1" 27.4928668653592 "Manaus"
"2" 23.0205606669188 "Manaus"
"3" 21.41421090113 "Manaus"
"4" 28.3947799773887 "Manaus"
"5" 27.1198363066651 "Manaus"
"6" 22.4564569653012 "Manaus"
"7" 22.707740094047 "Manaus"
"8" 21.3386890268885 "Manaus"
"9" 28.4534288104624 "Manaus"
"10" 26.2990852468647 "Manaus"
"11" 25.076992912218 "Manaus"
"12" 24.3385090632364 "Manaus"
"13" 24.372446257621 "Manaus"
"14" 21.2296523852274 "Manaus"
"15" 21.3161519635469 "Manaus"
"16" 27.4796924367547 "Manaus"
"17" 20.2701476914808 "Manaus"
"18" 22.107729781419 "Manaus"
"19" 28.5707483137958 "Manaus"
"20" 23.8853905862197 "Manaus"
"21" 20.3433079551905 "Manaus"
"22" 22.0236652065068 "Manaus"
"23" 23.5145852062851 "Manaus"
"24" 20.3958343015984 "Manaus"
"25" 25.6281340238638 "Manaus"
"26" 23.2495631580241 "Manaus"
"27" 23.058812872041 "Manaus"
"28" 23.579797365237 "Manaus"
"29" 20.082310650032 "Manaus"
"30" 22.8553850180469 "Manaus"
"31" 24.3641149252653 "Iranduba"
"32" 27.6531184790656 "Iranduba"
"33" 28.3097834582441 "Iranduba"
"34" 25.9520593821071 "Iranduba"
"35" 27.3684772802517 "Iranduba"
"36" 27.119720231276 "Iranduba"
"37" 21.8973397347145 "Iranduba"
"38" 28.6615239130333 "Iranduba"
"39" 27.8691367176361 "Iranduba"
"40" 24.1550392610952 "Iranduba"
"41" 21.1275131069124 "Iranduba"
"42" 22.0484311156906 "Iranduba"
"43" 21.7066887463443 "Iranduba"
"44" 20.1717812870629 "Iranduba"
"45" 21.9311334867962 "Iranduba"
"46" 27.46849169489 "Iranduba"
"47" 21.3828652119264 "Iranduba"
"48" 24.1773522272706 "Iranduba"
"49" 29.6541035338305 "Iranduba"
"50" 26.2826622184366 "Iranduba"
"51" 22.3833610373549 "Iranduba"
"52" 27.1721580647863 "Iranduba"
"53" 25.1686091185547 "Iranduba"
"54" 24.2415909236297 "Iranduba"
"55" 20.2089723758399 "Iranduba"
"56" 22.5726993079297 "Iranduba"
"57" 20.3686172817834 "Iranduba"
"58" 24.2080518323928 "Iranduba"
"59" 28.3517661364749 "Iranduba"
"60" 21.8179155653343 "Iranduba"
